tier	file	line	kind	name	attrs	boneyard_refs	orphan_module
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalChain.lean	108	theorem	delegation_since_eventuality		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	86	theorem	fwd_succ_resolves		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	98	theorem	h_content_consistent		1	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	133	theorem	bwd_pred_resolves		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	232	theorem	fwd_chain_reverse_h		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	323	theorem	bx_fmcs_at_zero		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	342	theorem	shifted_bx_fmcs_at_s		2	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	414	theorem	box_stable_in_shifted_fmcs		3	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	497	theorem	fwd_succ_fc_resolves		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	534	theorem	bwd_pred_fc_resolves		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/CanonicalModel.lean	634	theorem	fwd_chain_fc_reverse_h		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	90	theorem	singleton_dom		2	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	96	theorem	singleton_f_zero		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	124	theorem	singleton_invariant		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	169	theorem	singleton_c4		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	180	theorem	singleton_c4'		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	315	theorem	omega_chain_c2'		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	338	theorem	omega_chain_no_guard_accumulation		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	442	theorem	omega_chain_g_agrees_le		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	957	theorem	limit_c3_interval_subset_point		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	971	theorem	limit_c3_interval_subset_left		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	985	theorem	limit_c3_interval_subset_right		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	1014	theorem	g_content_sub_imp_h_content_sub		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	1056	theorem	h_content_sub_imp_g_content_sub		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	1249	theorem	chronicle_model_exists		0	
