name	category	kind	module
FormalSystem.Automation.tacticModal_k_tactic	data	def	FormalSystem.Automation.Tactics.Helpers
FormalSystem.Automation.tacticTemporal_k_tactic	data	def	FormalSystem.Automation.Tactics.Helpers
FormalSystem.Automation.tacticModal_4_tactic	data	def	FormalSystem.Automation.Tactics.Helpers
FormalSystem.Automation.tacticModal_b_tactic	data	def	FormalSystem.Automation.Tactics.Helpers
FormalSystem.Automation.tacticProp_decide	data	def	FormalSystem.Automation.Tactics.PropDecide
FormalSystem.FrameConditions.valid_over	prop_valued_definition	def	FormalSystem.FrameConditions.Validity
FormalSystem.FrameConditions.valid_linear	prop_valued_definition	def	FormalSystem.FrameConditions.Validity
FormalSystem.FrameConditions.valid_dense_fc	prop_valued_definition	def	FormalSystem.FrameConditions.Validity
FormalSystem.FrameConditions.valid_discrete_fc	prop_valued_definition	def	FormalSystem.FrameConditions.Validity
FormalSystem.FrameConditions.valid_over_Int	prop_valued_definition	def	FormalSystem.FrameConditions.Validity
FormalSystem.Metalogic.Algebraic.InteriorOperators.box_interior	data	def	FormalSystem.Metalogic.Algebraic.InteriorOperators
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.neg_quot	data	def	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.imp_quot	data	def	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.and_quot	data	def	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.or_quot	data	def	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.box_quot	data	def	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.H_quot	data	def	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.top_quot	data	def	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.bot_quot	data	def	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.sigma_quot	data	def	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient
FormalSystem.Metalogic.Algebraic.ParametricCanonical.parametric_canonical_task_rel	prop_valued_definition	def	FormalSystem.Metalogic.Algebraic.ParametricCanonical
FormalSystem.Metalogic.Algebraic.ParametricHistory.parametric_to_history	data	def	FormalSystem.Metalogic.Algebraic.ParametricHistory
FormalSystem.Metalogic.Algebraic.UltrafilterMCS.ultrafilter_to_mcs	data	def	FormalSystem.Metalogic.Algebraic.UltrafilterMCS
FormalSystem.Metalogic.BXCanonical.fwd_succ	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.bwd_pred	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.fwd_chain	data	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.bwd_chain	data	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.int_chain	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.bx_fmcs	data	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
