old_name	target_final	full_target	category	module	usages	source
FormalSystem.Automation.temp_4_forward	temporal4Forward	FormalSystem.Automation.temporal4Forward	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.temp_a_forward	temporalAForward	FormalSystem.Automation.temporalAForward	data	FormalSystem.Automation.AesopRules	0	flagged
FormalSystem.Automation.temporal_heuristic_bonus	temporalHeuristicBonus	FormalSystem.Automation.temporalHeuristicBonus	data	FormalSystem.Automation.ProofSearch.Core	7	flagged
FormalSystem.FrameConditions.valid_dense_fc	ValidDenseFc	FormalSystem.FrameConditions.ValidDenseFc	prop_valued_definition	FormalSystem.FrameConditions.Validity	4	flagged
FormalSystem.FrameConditions.valid_discrete_fc	ValidDiscreteFc	FormalSystem.FrameConditions.ValidDiscreteFc	prop_valued_definition	FormalSystem.FrameConditions.Validity	2	flagged
FormalSystem.FrameConditions.valid_linear	ValidLinear	FormalSystem.FrameConditions.ValidLinear	prop_valued_definition	FormalSystem.FrameConditions.Validity	3	flagged
FormalSystem.FrameConditions.valid_over	ValidOver	FormalSystem.FrameConditions.ValidOver	prop_valued_definition	FormalSystem.FrameConditions.Validity	13	flagged
FormalSystem.FrameConditions.valid_over_Int	ValidOverInt	FormalSystem.FrameConditions.ValidOverInt	prop_valued_definition	FormalSystem.FrameConditions.Validity	1	flagged
FormalSystem.Metalogic.Algebraic.InteriorOperators.box_interior	boxInterior	FormalSystem.Metalogic.Algebraic.InteriorOperators.boxInterior	data	FormalSystem.Metalogic.Algebraic.InteriorOperators	0	flagged
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.H_quot	hQuot	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.hQuot	data	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient	2	flagged
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.and_quot	andQuot	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.andQuot	data	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient	9	flagged
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.bot_quot	botQuot	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.botQuot	data	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient	1	flagged
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.box_quot	boxQuot	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.boxQuot	data	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient	10	flagged
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.imp_quot	impQuot	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.impQuot	data	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient	0	flagged
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.neg_quot	negQuot	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.negQuot	data	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient	8	flagged
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.or_quot	orQuot	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.orQuot	data	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient	14	flagged
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.sigma_quot	sigmaQuot	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.sigmaQuot	data	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient	9	flagged
FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.top_quot	topQuot	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient.topQuot	data	FormalSystem.Metalogic.Algebraic.LindenbaumQuotient	3	flagged
FormalSystem.Metalogic.Algebraic.ParametricCanonical.parametric_canonical_task_rel	ParametricCanonicalTaskRel	FormalSystem.Metalogic.Algebraic.ParametricCanonical.ParametricCanonicalTaskRel	prop_valued_definition	FormalSystem.Metalogic.Algebraic.ParametricCanonical	18	flagged
FormalSystem.Metalogic.Algebraic.ParametricHistory.parametric_to_history	parametricToHistory	FormalSystem.Metalogic.Algebraic.ParametricHistory.parametricToHistory	data	FormalSystem.Metalogic.Algebraic.ParametricHistory	46	flagged
FormalSystem.Metalogic.Algebraic.UltrafilterMCS.ultrafilter_to_mcs	ultrafilterToMcs	FormalSystem.Metalogic.Algebraic.UltrafilterMCS.ultrafilterToMcs	data	FormalSystem.Metalogic.Algebraic.UltrafilterMCS	5	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEvent.h_impl	hImpl	FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEvent.hImpl	data	FormalSystem.Metalogic.BXCanonical.Chronicle.PointInsertion	4	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEvent.h_snce	hSnce	FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEvent.hSnce	data	FormalSystem.Metalogic.BXCanonical.Chronicle.PointInsertion	3	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEventSince.h_impl	hImpl	FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEventSince.hImpl	data	FormalSystem.Metalogic.BXCanonical.Chronicle.PointInsertion	4	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEventSince.h_untl	hUntl	FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEventSince.hUntl	data	FormalSystem.Metalogic.BXCanonical.Chronicle.PointInsertion	3	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_bfmcs_dense	cantorBfmcsDense	FormalSystem.Metalogic.BXCanonical.Chronicle.cantorBfmcsDense	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	6	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_bfmcs_discrete	cantorBfmcsDiscrete	FormalSystem.Metalogic.BXCanonical.Chronicle.cantorBfmcsDiscrete	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	1	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_f_dense	CantorFDense	FormalSystem.Metalogic.BXCanonical.Chronicle.CantorFDense	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	16	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_fmcs_dense	cantorFmcsDense	FormalSystem.Metalogic.BXCanonical.Chronicle.cantorFmcsDense	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	2	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_iso_dense	cantorIsoDense	FormalSystem.Metalogic.BXCanonical.Chronicle.cantorIsoDense	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	18	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_zero_dense	cantorZeroDense	FormalSystem.Metalogic.BXCanonical.Chronicle.cantorZeroDense	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	9	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.collapseClass_linearOrder	collapseClassLinearOrder	FormalSystem.Metalogic.BXCanonical.Chronicle.collapseClassLinearOrder	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	0	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.collapse_equiv	CollapseEquiv	FormalSystem.Metalogic.BXCanonical.Chronicle.CollapseEquiv	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	23	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.collapse_setoid	collapseSetoid	FormalSystem.Metalogic.BXCanonical.Chronicle.collapseSetoid	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	2	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.counterexample_enum	counterexampleEnum	FormalSystem.Metalogic.BXCanonical.Chronicle.counterexampleEnum	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction	49	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.dd_countermodel_chronicle_mixed_sorry	countermodelChronicleMixed	FormalSystem.Metalogic.BXCanonical.Chronicle.countermodelChronicleMixed	data		0	partC-only
FormalSystem.Metalogic.BXCanonical.Chronicle.derivation_from_singleton_list	derivationFromSingletonList	FormalSystem.Metalogic.BXCanonical.Chronicle.derivationFromSingletonList	data	FormalSystem.Metalogic.BXCanonical.Chronicle.RRelation	1	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.discrete_embed	discreteEmbed	FormalSystem.Metalogic.BXCanonical.Chronicle.discreteEmbed	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	14	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.discrete_f	DiscreteF	FormalSystem.Metalogic.BXCanonical.Chronicle.DiscreteF	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	4	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.discrete_fmcs	discreteFmcs	FormalSystem.Metalogic.BXCanonical.Chronicle.discreteFmcs	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	0	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.discrete_zero	discreteZero	FormalSystem.Metalogic.BXCanonical.Chronicle.discreteZero	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	2	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.eliminate_potential_counterexample	eliminatePotentialCounterexample	FormalSystem.Metalogic.BXCanonical.Chronicle.eliminatePotentialCounterexample	data	FormalSystem.Metalogic.BXCanonical.Chronicle.CounterexampleElimination	2	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.embed_backward	embedBackward	FormalSystem.Metalogic.BXCanonical.Chronicle.embedBackward	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	9	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.embed_forward	embedForward	FormalSystem.Metalogic.BXCanonical.Chronicle.embedForward	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	9	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtype_pred	limitDomSubtypePred	FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtypePred	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	17	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtype_predOrder	limitDomSubtypePredOrder	FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtypePredOrder	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	2	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtype_succ	limitDomSubtypeSucc	FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtypeSucc	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	40	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtype_succOrder	limitDomSubtypeSuccOrder	FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtypeSuccOrder	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	2	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.limit_dom	LimitDom	FormalSystem.Metalogic.BXCanonical.Chronicle.LimitDom	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction	123	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.limit_f	LimitF	FormalSystem.Metalogic.BXCanonical.Chronicle.LimitF	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction	174	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.limit_g	LimitG	FormalSystem.Metalogic.BXCanonical.Chronicle.LimitG	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction	11	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.next_top	nextTop	FormalSystem.Metalogic.BXCanonical.Chronicle.nextTop	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	152	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.omega_chain	omegaChain	FormalSystem.Metalogic.BXCanonical.Chronicle.omegaChain	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction	14	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.omega_chain_elim_result	omegaChainElimResult	FormalSystem.Metalogic.BXCanonical.Chronicle.omegaChainElimResult	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction	26	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.omega_chain_val	omegaChainVal	FormalSystem.Metalogic.BXCanonical.Chronicle.omegaChainVal	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction	167	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.rooted_cantor_fmcs_dense	rootedCantorFmcsDense	FormalSystem.Metalogic.BXCanonical.Chronicle.rootedCantorFmcsDense	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	24	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.rooted_succ_discrete_fmcs	rootedSuccDiscreteFmcs	FormalSystem.Metalogic.BXCanonical.Chronicle.rootedSuccDiscreteFmcs	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	14	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.shifted_cantor_fmcs_dense'	shiftedCantorFmcsDense'	FormalSystem.Metalogic.BXCanonical.Chronicle.shiftedCantorFmcsDense'	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	9	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.shifted_succ_discrete_fmcs	shiftedSuccDiscreteFmcs	FormalSystem.Metalogic.BXCanonical.Chronicle.shiftedSuccDiscreteFmcs	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	3	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.singleton_chronicle	singletonChronicle	FormalSystem.Metalogic.BXCanonical.Chronicle.singletonChronicle	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction	18	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.succ_discrete_f	SuccDiscreteF	FormalSystem.Metalogic.BXCanonical.Chronicle.SuccDiscreteF	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	6	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.succ_discrete_fmcs	succDiscreteFmcs	FormalSystem.Metalogic.BXCanonical.Chronicle.succDiscreteFmcs	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	2	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.succ_embed	succEmbed	FormalSystem.Metalogic.BXCanonical.Chronicle.succEmbed	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel	58	flagged
FormalSystem.Metalogic.BXCanonical.Chronicle.top_formula	topFormula	FormalSystem.Metalogic.BXCanonical.Chronicle.topFormula	data	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic	28	flagged
FormalSystem.Metalogic.BXCanonical.Filtration.is_until_defect	IsUntilDefect	FormalSystem.Metalogic.BXCanonical.Filtration.IsUntilDefect	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Filtration.DefectChain	0	flagged
FormalSystem.Metalogic.BXCanonical.Filtration.sigma_defect_count	sigmaDefectCount	FormalSystem.Metalogic.BXCanonical.Filtration.sigmaDefectCount	data	FormalSystem.Metalogic.BXCanonical.Filtration.DefectChain	2	flagged
FormalSystem.Metalogic.BXCanonical.Filtration.sigma_since_defect_count	sigmaSinceDefectCount	FormalSystem.Metalogic.BXCanonical.Filtration.sigmaSinceDefectCount	data	FormalSystem.Metalogic.BXCanonical.Filtration.DefectChain	0	flagged
FormalSystem.Metalogic.BXCanonical.Quasimodel.bigconj_intro	bigconjIntro	FormalSystem.Metalogic.BXCanonical.Quasimodel.bigconjIntro	data	FormalSystem.Metalogic.BXCanonical.Quasimodel.Realization	1	flagged
FormalSystem.Metalogic.BXCanonical.Quasimodel.bigconj_mem_iff	bigconjMemIff	FormalSystem.Metalogic.BXCanonical.Quasimodel.bigconjMemIff	data	FormalSystem.Metalogic.BXCanonical.Quasimodel.Realization	1	flagged
FormalSystem.Metalogic.BXCanonical.Quasimodel.defect_count	defectCount	FormalSystem.Metalogic.BXCanonical.Quasimodel.defectCount	data	FormalSystem.Metalogic.BXCanonical.Quasimodel.Construction	9	flagged
FormalSystem.Metalogic.BXCanonical.Quasimodel.g_content_sigma	GContentSigma	FormalSystem.Metalogic.BXCanonical.Quasimodel.GContentSigma	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Quasimodel.Realization	1	flagged
FormalSystem.Metalogic.BXCanonical.Quasimodel.hintikka_step	HintikkaStep	FormalSystem.Metalogic.BXCanonical.Quasimodel.HintikkaStep	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Quasimodel.Construction	16	flagged
FormalSystem.Metalogic.BXCanonical.Quasimodel.sigma_signature	sigmaSignature	FormalSystem.Metalogic.BXCanonical.Quasimodel.sigmaSignature	data	FormalSystem.Metalogic.BXCanonical.Quasimodel.HintikkaPoint	2	flagged
FormalSystem.Metalogic.BXCanonical.Quasimodel.sigma_signature_formulas	sigmaSignatureFormulas	FormalSystem.Metalogic.BXCanonical.Quasimodel.sigmaSignatureFormulas	data	FormalSystem.Metalogic.BXCanonical.Quasimodel.HintikkaPoint	8	flagged
FormalSystem.Metalogic.BXCanonical.Quasimodel.since_defect_count	sinceDefectCount	FormalSystem.Metalogic.BXCanonical.Quasimodel.sinceDefectCount	data	FormalSystem.Metalogic.BXCanonical.Quasimodel.Construction	9	flagged
FormalSystem.Metalogic.BXCanonical.bwd_chain	bwdChain	FormalSystem.Metalogic.BXCanonical.bwdChain	data	FormalSystem.Metalogic.BXCanonical.CanonicalModel	23	flagged
FormalSystem.Metalogic.BXCanonical.bwd_chain_fc	bwdChainFc	FormalSystem.Metalogic.BXCanonical.bwdChainFc	data	FormalSystem.Metalogic.BXCanonical.CanonicalModel	23	flagged
FormalSystem.Metalogic.BXCanonical.bwd_pred	BwdPred	FormalSystem.Metalogic.BXCanonical.BwdPred	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.CanonicalModel	8	flagged
FormalSystem.Metalogic.BXCanonical.bwd_pred_fc	BwdPredFc	FormalSystem.Metalogic.BXCanonical.BwdPredFc	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.CanonicalModel	8	flagged
FormalSystem.Metalogic.BXCanonical.bx_fmcs	bxFmcs	FormalSystem.Metalogic.BXCanonical.bxFmcs	data	FormalSystem.Metalogic.BXCanonical.CanonicalModel	1	flagged
FormalSystem.Metalogic.BXCanonical.bx_fmcs_fc	bxFmcsFc	FormalSystem.Metalogic.BXCanonical.bxFmcsFc	data	FormalSystem.Metalogic.BXCanonical.CanonicalModel	0	flagged
FormalSystem.Metalogic.BXCanonical.bx_le	BxLe	FormalSystem.Metalogic.BXCanonical.BxLe	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Frame	30	flagged
FormalSystem.Metalogic.BXCanonical.bx_lt	BxLt	FormalSystem.Metalogic.BXCanonical.BxLt	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.TruthLemma	0	flagged
FormalSystem.Metalogic.BXCanonical.bx_modal_equiv	BxModalEquiv	FormalSystem.Metalogic.BXCanonical.BxModalEquiv	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.Frame	10	flagged
FormalSystem.Metalogic.BXCanonical.enriched_resolving_seed	EnrichedResolvingSeed	FormalSystem.Metalogic.BXCanonical.EnrichedResolvingSeed	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.OrderedSeedConsistency	4	flagged
FormalSystem.Metalogic.BXCanonical.fwd_chain	fwdChain	FormalSystem.Metalogic.BXCanonical.fwdChain	data	FormalSystem.Metalogic.BXCanonical.CanonicalModel	19	flagged
FormalSystem.Metalogic.BXCanonical.fwd_chain_fc	fwdChainFc	FormalSystem.Metalogic.BXCanonical.fwdChainFc	data	FormalSystem.Metalogic.BXCanonical.CanonicalModel	19	flagged
FormalSystem.Metalogic.BXCanonical.fwd_succ	FwdSucc	FormalSystem.Metalogic.BXCanonical.FwdSucc	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.CanonicalModel	8	flagged
FormalSystem.Metalogic.BXCanonical.fwd_succ_fc	FwdSuccFc	FormalSystem.Metalogic.BXCanonical.FwdSuccFc	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.CanonicalModel	8	flagged
FormalSystem.Metalogic.BXCanonical.henkin_bfmcs	henkinBfmcs	FormalSystem.Metalogic.BXCanonical.henkinBfmcs	data	FormalSystem.Metalogic.BXCanonical.CanonicalModel	0	flagged
FormalSystem.Metalogic.BXCanonical.int_chain	IntChain	FormalSystem.Metalogic.BXCanonical.IntChain	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.CanonicalModel	20	flagged
FormalSystem.Metalogic.BXCanonical.int_chain_fc	IntChainFc	FormalSystem.Metalogic.BXCanonical.IntChainFc	prop_valued_definition	FormalSystem.Metalogic.BXCanonical.CanonicalModel	20	flagged
FormalSystem.Metalogic.BXCanonical.neg_box_to_box_neg_box	negBoxToBoxNegBox	FormalSystem.Metalogic.BXCanonical.negBoxToBoxNegBox	data	FormalSystem.Metalogic.BXCanonical.Frame	4	flagged
FormalSystem.Metalogic.BXCanonical.shifted_bx_fmcs	shiftedBxFmcs	FormalSystem.Metalogic.BXCanonical.shiftedBxFmcs	data	FormalSystem.Metalogic.BXCanonical.CanonicalModel	3	flagged
FormalSystem.Metalogic.BXCanonical.shifted_bx_fmcs_fc	shiftedBxFmcsFc	FormalSystem.Metalogic.BXCanonical.shiftedBxFmcsFc	data	FormalSystem.Metalogic.BXCanonical.CanonicalModel	12	flagged
FormalSystem.Metalogic.Bundle.BFMCS.backward_until_since_coherent	BackwardUntilSinceCoherent	FormalSystem.Metalogic.Bundle.BFMCS.BackwardUntilSinceCoherent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalCoherence	11	flagged
FormalSystem.Metalogic.Bundle.BFMCS.eval_family	evalFamily	FormalSystem.Metalogic.Bundle.BFMCS.evalFamily	data	FormalSystem.Metalogic.Bundle.BFMCS	3	flagged
FormalSystem.Metalogic.Bundle.BFMCS.forward_until_since_coherent	ForwardUntilSinceCoherent	FormalSystem.Metalogic.Bundle.BFMCS.ForwardUntilSinceCoherent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalCoherence	11	flagged
FormalSystem.Metalogic.Bundle.BFMCS.restricted_backward_until_since_coherent	RestrictedBackwardUntilSinceCoherent	FormalSystem.Metalogic.Bundle.BFMCS.RestrictedBackwardUntilSinceCoherent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalCoherence	5	flagged
FormalSystem.Metalogic.Bundle.BFMCS.restricted_forward_until_since_coherent	RestrictedForwardUntilSinceCoherent	FormalSystem.Metalogic.Bundle.BFMCS.RestrictedForwardUntilSinceCoherent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalCoherence	4	flagged
FormalSystem.Metalogic.Bundle.BFMCS.restricted_temporally_coherent	RestrictedTemporallyCoherent	FormalSystem.Metalogic.Bundle.BFMCS.RestrictedTemporallyCoherent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalCoherence	6	flagged
FormalSystem.Metalogic.Bundle.BFMCS.temporally_coherent	TemporallyCoherent	FormalSystem.Metalogic.Bundle.BFMCS.TemporallyCoherent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalCoherence	8	flagged
FormalSystem.Metalogic.Bundle.BFMCS.until_since_coherent	UntilSinceCoherent	FormalSystem.Metalogic.Bundle.BFMCS.UntilSinceCoherent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalCoherence	3	flagged
FormalSystem.Metalogic.Bundle.ExistsTask_past	ExistsTaskPast	FormalSystem.Metalogic.Bundle.ExistsTaskPast	prop_valued_definition	FormalSystem.Metalogic.Bundle.CanonicalFrame	4	flagged
FormalSystem.Metalogic.Bundle.G_dne_theorem	gDneTheorem	FormalSystem.Metalogic.Bundle.gDneTheorem	data	FormalSystem.Metalogic.Bundle.TemporalCoherence	0	flagged
FormalSystem.Metalogic.Bundle.H_dne_theorem	hDneTheorem	FormalSystem.Metalogic.Bundle.hDneTheorem	data	FormalSystem.Metalogic.Bundle.TemporalCoherence	0	flagged
FormalSystem.Metalogic.Bundle.axiom_5_negative_introspection	axiom5NegativeIntrospection	FormalSystem.Metalogic.Bundle.axiom5NegativeIntrospection	data	FormalSystem.Metalogic.Bundle.ModalSaturation	2	flagged
FormalSystem.Metalogic.Bundle.box_dne_theorem	boxDneTheorem	FormalSystem.Metalogic.Bundle.boxDneTheorem	data	FormalSystem.Metalogic.Bundle.ModalSaturation	5	flagged
FormalSystem.Metalogic.Bundle.closure_F_bound	closureFBound	FormalSystem.Metalogic.Bundle.closureFBound	data	FormalSystem.Metalogic.Bundle.CanonicalTaskRelation	9	flagged
FormalSystem.Metalogic.Bundle.closure_P_bound	closurePBound	FormalSystem.Metalogic.Bundle.closurePBound	data	FormalSystem.Metalogic.Bundle.CanonicalTaskRelation	9	flagged
FormalSystem.Metalogic.Bundle.dne_theorem	dneTheorem	FormalSystem.Metalogic.Bundle.dneTheorem	data	FormalSystem.Metalogic.Bundle.ModalSaturation	6	flagged
FormalSystem.Metalogic.Bundle.dni_theorem	dniTheorem	FormalSystem.Metalogic.Bundle.dniTheorem	data	FormalSystem.Metalogic.Bundle.ModalSaturation	0	flagged
FormalSystem.Metalogic.Bundle.f_content	FContent	FormalSystem.Metalogic.Bundle.FContent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalContent	8	flagged
FormalSystem.Metalogic.Bundle.forward_temporal_witness_seed	ForwardTemporalWitnessSeed	FormalSystem.Metalogic.Bundle.ForwardTemporalWitnessSeed	prop_valued_definition	FormalSystem.Metalogic.Bundle.WitnessSeed	17	flagged
FormalSystem.Metalogic.Bundle.g_content	GContent	FormalSystem.Metalogic.Bundle.GContent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalContent	96	flagged
FormalSystem.Metalogic.Bundle.h_content	HContent	FormalSystem.Metalogic.Bundle.HContent	prop_valued_definition	FormalSystem.Metalogic.Bundle.TemporalContent	67	flagged
FormalSystem.Metalogic.Bundle.is_modally_saturated	IsModallySaturated	FormalSystem.Metalogic.Bundle.IsModallySaturated	prop_valued_definition	FormalSystem.Metalogic.Bundle.ModalSaturation	3	flagged
FormalSystem.Metalogic.Bundle.iter_F	iterF	FormalSystem.Metalogic.Bundle.iterF	data	FormalSystem.Metalogic.Bundle.CanonicalTaskRelation	33	flagged
FormalSystem.Metalogic.Bundle.iter_P	iterP	FormalSystem.Metalogic.Bundle.iterP	data	FormalSystem.Metalogic.Bundle.CanonicalTaskRelation	37	flagged
FormalSystem.Metalogic.Bundle.lindenbaumMCS_set	LindenbaumMCSSet	FormalSystem.Metalogic.Bundle.LindenbaumMCSSet	prop_valued_definition	FormalSystem.Metalogic.Bundle.Construction	2	flagged
FormalSystem.Metalogic.Bundle.modal_5_collapse_theorem	modal5CollapseTheorem	FormalSystem.Metalogic.Bundle.modal5CollapseTheorem	data	FormalSystem.Metalogic.Bundle.ModalSaturation	1	flagged
